
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:28:22 AM           DriverStore                                         
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:08:14 AM            DRVSTORE                                            
d---s- NT SERVICE\TrustedInstaller 9/15/2018 12:08:54 PM           dsc                                                 
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            el-GR                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:54 PM           en                                                  
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            en-GB                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            en-US                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            es-ES                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            es-MX                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            et-EE                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           eu-ES                                               
d---s- NT SERVICE\TrustedInstaller 9/15/2018 12:08:55 PM           F12                                                 
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           fa-IR                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            fi-FI                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           fil-PH                                              
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            fr-CA                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            fr-FR                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           FxsTmp                                              
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ga-IE                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           gd-GB                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           gl-ES                                               
d--h-- NT AUTHORITY\SYSTEM         5/15/2019 7:08:13 AM            GroupPolicy                                         
d----- NT AUTHORITY\SYSTEM         9/19/2018 8:55:52 AM            GroupPolicyUsers                                    
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           gu-IN                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            ha-Latn-NG                                          
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:09 AM            he-IL                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           hi-IN                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            hr-HR                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            hu-HU                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           hy-AM                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 12:11:06 PM           hydrogen                                            
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:00 AM           ias                                                 
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:00 AM           icsxml                                              
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           id-ID                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            ig-NG                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           IME                                                 
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           inetsrv                                             
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           InputMethod                                         
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           Ipmi                                                
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           is-IS                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            it-IT                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            ja-jp                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ka-GE                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           kk-KZ                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           km-KH                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           kn-IN                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            ko-KR                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           kok-IN                                              
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            ku-Arab-IQ                                          
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ky-KG                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           lb-LU                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           Licenses                                            
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           lo-LA                                               
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:27:26 AM           LogFiles                                            
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            lt-LT                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            lv-LV                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           Macromed                                            
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:10:31 PM           MailContactsCalendarSync                            
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           mi-NZ                                               
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:02:24 AM            Microsoft                                           
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            migration                                           
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            migwiz                                              
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           mk-MK                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ml-IN                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           mn-MN                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           mr-IN                                               
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:18:55 AM           MRT                                                 
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ms-MY                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           MSDRM                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           MsDtc                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           mt-MT                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 12:08:55 PM           MUI                                                 
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           my-mm                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            nb-NO                                               
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:08:14 AM            NDF                                                 
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ne-NP                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           networklist                                         
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            nl-NL                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           nn-NO                                               
d----- BUILTIN\Administrators      5/15/2019 7:08:14 AM            Npcap                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            nso-ZA                                              
d---s- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           Nui                                                 
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:08:14 AM            oobe                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:09:47 PM           OpenSSH                                             
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           or-IN                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            pa-Arab-PK                                          
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           pa-IN                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:11:06 PM           PerceptionSimulation                                
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            pl-PL                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           PointOfService                                      
d----- NT AUTHORITY\SYSTEM         9/15/2018 12:08:55 PM           Printing_Admin_Scripts                              
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           ProximityToast                                      
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           prs-AF                                              
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            pt-BR                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            pt-PT                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            quc-Latn-GT                                         
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           quz-PE                                              
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           ras                                                 
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:33:50 AM           RasToast                                            
d----- NT AUTHORITY\SYSTEM         5/14/2019 8:08:41 PM            Recovery                                            
d----- NT AUTHORITY\SYSTEM         5/16/2019 11:17:52 AM           restore                                             
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            ro-RO                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            ru-RU                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            rw-RW                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            sd-Arab-PK                                          
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:06:43 AM            SDA                                                 
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           SecureBootUpdates                                   
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:55 PM           setup                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           Sgrm                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           ShellExperiences                                    
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           si-lk                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            sk-SK                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            sl-SI                                               
d----- NT AUTHORITY\SYSTEM         5/16/2019 5:25:32 PM            SleepStudy                                          
d----- NT AUTHORITY\SYSTEM         9/15/2018 12:08:55 PM           slmgr                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 9:09:29 AM            SMI                                                 
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           Speech                                              
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           Speech_OneCore                                      
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:08:14 AM            spool                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           spp                                                 
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           sppui                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           sq-AL                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            sr-Cyrl-BA                                          
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            sr-Cyrl-RS                                          
d----- NT SERVICE\TrustedInstaller 10/30/2015 9:24:39 AM           sr-Latn-CS                                          
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            sr-Latn-RS                                          
d----- NT AUTHORITY\SYSTEM         5/16/2019 7:31:15 PM            sru                                                 
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            sv-SE                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           sw-KE                                               
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:55 PM           Sysprep                                             
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:55 PM           SystemResetPlatform                                 
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           ta-in                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           ta-lk                                               
d----- NT AUTHORITY\SYSTEM         5/14/2019 8:14:38 PM            Tasks                                               
d----- NT AUTHORITY\SYSTEM         5/15/2019 7:08:14 AM            Tasks_Migrated                                      
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           te-IN                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            tg-Cyrl-TJ                                          
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            th-TH                                               
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:34:01 AM           ti-et                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           tk-TM                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            tn-ZA                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            tr-TR                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           tt-RU                                               
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ug-CN                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            uk-UA                                               
d---s- NT SERVICE\TrustedInstaller 9/15/2018 10:34:01 AM           UNP                                                 
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           ur-PK                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            uz-Latn-UZ                                          
d----- NT AUTHORITY\SYSTEM         11/6/2018 10:40:36 AM           vi-VN                                               
d----- NT SERVICE\TrustedInstaller 5/14/2019 8:12:18 PM            wbem                                                
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:08:55 PM           WCN                                                 
d----- NT AUTHORITY\SYSTEM         5/15/2019 10:33:36 AM           WDI                                                 
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:08:14 AM            WinBioDatabase                                      
d----- NT SERVICE\TrustedInstaller 9/15/2018 12:09:19 PM           WinBioPlugIns                                       
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           WindowsPowerShell                                   
d----- NT AUTHORITY\SYSTEM         9/15/2018 10:33:50 AM           winevt                                              
d----- NT SERVICE\TrustedInstaller 9/15/2018 10:34:02 AM           WinMetadata                                         
d----- NT AUTHORITY\SYSTEM         9/15/2018 12:08:55 PM           winrm                                               
d--h-- BUILTIN\Administrators      5/15/2019 7:08:14 AM            WLANProfiles                                        
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            wo-SN                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            xh-ZA                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            yo-NG                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 7:01:23 AM            zh-CN                                               
d----- NT SERVICE\TrustedInstaller 10/30/2015 9:24:40 AM           zh-HK                                               
d----- NT SERVICE\TrustedInstaller 5/15/2019 6:58:05 AM            zh-TW                                               
d----- NT AUTHORITY\SYSTEM         4/10/2019 5:37:10 PM            zu-ZA                                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 232       @AppHelpToast.png                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 308       @AudioToastIcon.png                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 450       @BackgroundAccessToastIcon.png                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 199       @bitlockertoastimage.png                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 14791     @edptoastimage.png                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 330       @EnrollmentToastIcon.png                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 563       @language_notification_icon.png                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 483       @optionalfeatures.png                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 404       @VpnToastIcon.png                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 15106     @WiFiNotificationIcon.png                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 195443    @windows-hello-V4.1.gif                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 714       @WindowsHelloFaceToastIcon.png                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 518       @WindowsUpdateToastIcon.contrast-black.png          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 810       @WindowsUpdateToastIcon.contrast-white.png          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 518       @WindowsUpdateToastIcon.png                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 691       @WirelessDisplayToast.png                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 155       @WwanNotificationIcon.png                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 352       @WwanSimLockIcon.png                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 196608    aadauthhelper.dll                                   
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:10 AM  691712    aadcloudap.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 68096     aadjcsp.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:10 AM  1824768   aadtb.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 145720    aadWamExtension.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 413200    AboutSettingsHandlers.dll                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:14 AM  400384    AboveLockAppHost.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 3838976   accessibilitycpl.dll                                
-a---- NT SERVICE\TrustedInstaller 9/14/2018 8:59:00 PM  273408    accountaccessor.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/14/2018 8:58:00 PM  441856    AccountsRt.dll                                      
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:30 AM  349184    AcGenral.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:30 AM  314368    AcLayers.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 11264     acledit.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 5504000   aclui.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  322568    acmigration.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:11 AM  200192    ACPBackgroundManagerPolicy.dll                      
-a---- BUILTIN\Administrators      3/4/2016 3:51:46 AM   118592    AcpiServiceVnA64.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 82432     acppage.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 12800     acproxy.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 65024     AcSpecfc.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 313856    ActionCenter.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 560640    ActionCenterCPL.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 72704     ActionMgr.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 188928    ActionQueue.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 55808     ActivationClient.dll                                
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:10 AM  681984    ActivationManager.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 265728    activeds.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 112128    activeds.tlb                                        
-a---- NT SERVICE\TrustedInstaller 9/14/2018 8:59:00 PM  101376    ActiveSyncCsp.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/14/2018 8:49:00 PM  1819136   ActiveSyncProvider.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 612864    actxprxy.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 32768     AcWinRT.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 15360     AcXtrnal.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 1300480   AdaptiveCards.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 67584     AddressParser.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 24064     adhapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 97792     adhsvc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 58368     adprovider.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 249344    adsldp.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 252928    adsldpc.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 101376    adsmsext.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 351232    adsnt.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 844288    adtschema.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 145408    AdvancedEmojiDS.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 659720    advapi32.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 2560      advapi32res.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 144384    advpack.dll                                         
